iso3code,country-english,country-french,country-spanish,women,men,gap
AFG,Afghanistan,Afghanistan,Afganistán,19.1,12.1,7.0
AGO,Angola,Angola,Angola,9.1,8,1.1
ALB,Albania,Albanie,Albania,11.9,11.7,0.2
ARE,United Arab Emirates,Emirats arabes unis,Emiratos Arabes Unidos,8.1,2.4,5.7
ARG,Argentina,Argentine,Argentina,13.3,9.1,4.2
ARM,Armenia,Arménie,Armenia,22.3,19.8,2.5
AUS,Australia,Australie,Australia,4.8,5.4,-0.6
AUT,Austria,Autriche,Austria,6.3,6.3,0.0
AZE,Azerbaijan,Azerbaïdjan,Azerbaiyán,7.7,5.5,2.2
BDI,Burundi,Burundi,Burundi,1.4,2.2,-0.8
BEL,Belgium,Belgique,Bélgica,6.5,6.3,0.2
BEN,Benin,Bénin,Benin,1.9,1.3,0.6
BFA,Burkina Faso,Burkina Faso,Burkina Faso,4.8,4.7,0.1
BGD,Bangladesh,Bangladesh,Bangladesh,7.9,4.1,3.8
BGR,Bulgaria,Bulgarie,Bulgaria,5.3,5.5,-0.2
BHR,Bahrain,Bahreïn,Bahrein,5.6,1,4.6
BHS,Bahamas,Bahamas,Bahamas,13.4,13,0.4
BIH,Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia y Herzegovina,17.7,13.6,4.1
BLR,Belarus,Bélarus,Belarús,3.8,5.7,-1.9
BLZ,Belize,Belize,Belice,12,5.9,6.1
BOL,Bolivia,Bolivie,Bolivia,10.7,6.7,4.0
BRA,Brazil,Brésil,Brasil,17.7,11.9,5.8
BRB,Barbados,Barbade,Barbados,9.3,11.5,-2.2
BRN,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,9.2,6.6,2.6
BTN,Bhutan,Bhoutan,Bhután,5.6,3.5,2.1
BWA,Botswana,Botswana,Botswana,25.8,23.7,2.1
CAF,Central African Republic,République centrafricaine,República Centroafricana,7.5,5.8,1.7
CAN,Canada,Canada,Canadá,7.3,7.7,-0.4
CHA,Channel Islands,Tchad,Chad,7.9,7,0.9
CHE,Switzerland,Suisse,Suiza,5.6,5.1,0.5
CHL,Chile,Chili,Chile,9.4,8.9,0.5
CHN,China,Chine,China,4.3,5.3,-1.0
CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,4.1,3,1.1
CMR,Cameroon,Cameroun,Camerún,4.5,3.3,1.2
COD,"Congo, Democratic Republic of the","Congo, Rép. dém. du","Congo, Rep. Dem. del",4.7,6.1,-1.4
COG,Congo,Congo,Congo,24.7,21.4,3.3
COL,Colombia,Colombie,Colombia,18.3,11.5,6.8
