iso3code,country-english,country-french,country-spanish,women,men,gap
AFG,Afghanistan,Afghanistan,Afganistán,14.8,66.5,51.7
AGO,Angola,Angola,Angola,74,79.1,5.1
ALB,Albania,Albanie,Albania,50.7,66.2,15.5
ARE,United Arab Emirates,Emirats arabes unis,Emiratos Arabes Unidos,46.5,88,41.5
ARG,Argentina,Argentine,Argentina,50,71.6,21.6
ARM,Armenia,Arménie,Armenia,42.7,63,20.3
AUS,Australia,Australie,Australia,61.1,70.5,9.4
AUT,Austria,Autriche,Austria,55.5,66.3,10.8
AZE,Azerbaijan,Azerbaïdjan,Azerbaiyán,60.4,67.3,6.9
BDI,Burundi,Burundi,Burundi,79,77.4,-1.6
BEL,Belgium,Belgique,Bélgica,49.8,58.8,9
BEN,Benin,Bénin,Benin,69.3,72.6,3.3
BFA,Burkina Faso,Burkina Faso,Burkina Faso,57.2,72.7,15.5
BGD,Bangladesh,Bangladesh,Bangladesh,34.9,78.8,43.9
BGR,Bulgaria,Bulgarie,Bulgaria,49.1,62.6,13.5
BHR,Bahrain,Bahreïn,Bahrein,42.4,83.5,41.1
BHS,Bahamas,Bahamas,Bahamas,65.6,71.5,5.9
BIH,Bosnia and Herzegovina,Bosnie-Herzégovine,Bosnia y Herzegovina,32.3,52.4,20.1
BLR,Belarus,Bélarus,Belarús,57.3,71.4,14.1
BLZ,Belize,Belize,Belice,46.9,76.8,29.9
BOL,Bolivia,Bolivie,Bolivia,68.3,83.8,15.5
BRA,Brazil,Brésil,Brasil,49.1,68.2,19.1
BRB,Barbados,Barbade,Barbados,56.1,63.7,7.6
BRN,Brunei Darussalam,Brunéi Darussalam,Brunei Darussalam,54.1,72.3,18.2
BTN,Bhutan,Bhoutan,Bhután,51.6,67.4,15.8
BWA,Botswana,Botswana,Botswana,56.3,65.1,8.8
CAF,Central African Republic,République centrafricaine,República Centroafricana,63.3,79.5,16.2
CAN,Canada,Canada,Canadá,60.8,69.7,8.9
CHA,Channel Islands,Tchad,Chad,51.6,67.2,15.6
CHE,Switzerland,Suisse,Suiza,61.7,72.7,11
CHL,Chile,Chili,Chile,44.2,65.5,21.3
CHN,China,Chine,China,61.6,74.3,12.7
CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,45.9,64.9,19
CMR,Cameroon,Cameroun,Camerún,70.2,80.7,10.5
COD,"Congo, Democratic Republic of the","Congo, Rép. dém. du","Congo, Rep. Dem. del",61.2,69.1,7.9
COG,Congo,Congo,Congo,65.1,67.6,2.5
COL,Colombia,Colombie,Colombia,52.2,78,25.8
COM,Comoros,Comores,Comoras,32.1,54.5,22.4
CPV,Cape Verde,Cap-Vert,Cabo Verde,46.9,61.7,14.8
CRI,Costa Rica,Costa Rica,Costa Rica,47.5,71.1,23.6
CUB,Cuba,Cuba,Cuba,40.3,68.5,28.2
CYP,Cyprus,Chypre,Chipre,56.6,68.8,12.2
CZE,Czechia,Tchéquie,Chequia,51.7,68.1,16.4
DEU,Germany,Allemagne,Alemania,56.8,66,9.2
DJI,Djibouti,Djibouti,Djibouti,17.2,44.1,26.9
DNK,Denmark,Danemark,Dinamarca,57.7,66.7,9
DOM,Dominican Republic,République dominicaine,República Dominicana,49.6,75.2,25.6
DZA,Algeria,Algérie,Argelia,15.7,64.5,48.8
ECU,Ecuador,Equateur,Ecuador,53.3,76.5,23.2
EGY,Egypt,Egypte,Egipto,15.4,67.1,51.7
ERI,Eritrea,Érythrée,Eritrea,70.2,83.6,13.4
ESH,Western Sahara,N/A,N/A,24.2,70.2,46
ESP,Spain,Espagne,España,52.7,62.4,9.7
EST,Estonia,Estonie,Estonia,57.5,70.2,12.7
ETH,Ethiopia,Ethiopie,Etiopía,72.3,84.7,12.4
FIN,Finland,Finlande,Finlandia,56.5,64,7.5
FJI,Fiji,Fidji,Fiji,37.7,75.3,37.6
FRA,France,France,Francia,51.9,59.7,7.8
GAB,Gabon,Gabon,Gabón,39.1,57,17.9
GBR,United Kingdom,Royaume-Uni,Reino Unido,58,67.1,9.1
GEO,Georgia,Géorgie,Georgia,51,68,17
GHA,Ghana,Ghana,Ghana,64.5,72.2,7.7
GIN,Guinea,Guinée,Guinea,62.1,62.2,0.1
GMB,Gambia,Gambie,Gambia,48.9,66.3,17.4
GNB,Guinea-Bissau,Guinée-Bissau,Guinea-Bissau,63.9,78.4,14.5
GNQ,Equatorial Guinea,Guinée équatoriale,Guinea Ecuatorial,49.9,58.5,8.6
GRC,Greece,Grèce,Grecia,43.3,58.1,14.8
GTM,Guatemala,Guatemala,Guatemala,37.4,80.3,42.9
GUM,Guam,Guam,Guam,53.9,67.2,13.3
GUY,Guyana,Guyana,Guyana,40.3,64.1,23.8
HND,Honduras,Honduras,Honduras,42.3,78.9,36.6
HRV,Croatia,Croatie,Croacia,45.9,58.8,12.9
HTI,Haiti,Haïti,Haití,60.7,68.9,8.2
HUN,Hungary,Hongrie,Hungría,52.1,67.2,15.1
IDN,Indonesia,Indonésie,Indonesia,53.7,81.7,28
IND,India,Inde,India,19.2,70.1,50.9
IRL,Ireland,Irlande,Irlanda,56.5,68.6,12.1
IRN,"Iran, Islamic Republic of",Iran (République islamique d'),Irán (República Islámica del),14.4,68.1,53.7
IRQ,Iraq,Iraq,Iraq,11.1,71.8,60.7
ISL,Iceland,Islande,Islandia,61.7,70.5,8.8
ISR,Israel,Israël,Israel,58.5,66.1,7.6
ITA,Italy,Italie,Italia,39.9,57.6,17.7
JAM,Jamaica,Jamaïque,Jamaica,56.1,70,13.9
JOR,Jordan,Jordanie,Jordania,13.5,62.3,48.8
JPN,Japan,Japon,Japón,53.3,71,17.7
KAZ,Kazakhstan,Kazakhstan,Kazajstán,63.3,75.5,12.2
KEN,Kenya,Kenya,Kenya,71,75.6,4.6
KGZ,Kyrgyzstan,Kirghizistan,Kirguistán,42.1,71.7,29.6
KHM,Cambodia,Cambodge,Camboya,74,85.9,11.9
KOR,"Korea, Republic of","Corée, République de","Corea, República de",53.4,72.4,19
KWT,Kuwait,Koweït,Kuwait,47.4,83.8,36.4
LAO,Lao People's Democratic Republic,"Lao, République démocratique populaire","Lao, República Democrática Popular Lao",74.8,78.1,3.3
LBN,Lebanon,Liban,Líbano,20.8,64.3,43.5
LBR,Liberia,Libéria,Liberia,69.8,79.7,9.9
LBY,Libya,Libye,Libia,34.1,61,26.9
LCA,Saint Lucia,Sainte-Lucie,Santa Lucía,63.2,73.2,10
LKA,Sri Lanka,Sri Lanka,Sri Lanka,30.9,68.5,37.6
LSO,Lesotho,Lesotho,Lesotho,56.1,71.3,15.2
LTU,Lithuania,Lituanie,Lituania,57.3,67.9,10.6
